FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,610.8,619.0,610.8,619.0,619.0,3.0,25.88,8400.0,1400.0,01-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,613.5,616.2,595.65,612.35,612.35,7057.0,60086.33,41315400.0,19600.0,05-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,605.1,617.0,598.0,614.65,614.65,147.0,1255.18,287000.0,-22400.0,05-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,627.95,627.95,607.0,617.0,617.0,9.0,77.68,15400.0,7000.0,05-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,610.15,624.45,606.6,623.5,623.5,6751.0,58604.66,41631800.0,316400.0,06-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,622.15,627.0,610.95,626.0,626.0,185.0,1612.52,357000.0,70000.0,06-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,614.9,624.5,614.9,622.3,625.5,7.0,60.85,14000.0,-1400.0,06-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,624.35,631.9,620.1,625.25,625.25,4940.0,43296.77,41833400.0,201600.0,07-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,623.55,633.0,623.5,627.85,627.85,86.0,757.17,394800.0,37800.0,07-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,632.1,633.25,629.0,633.0,626.05,8.0,70.8,12600.0,-1400.0,07-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,626.0,629.65,616.05,617.8,617.8,4733.0,41287.33,41290200.0,-543200.0,08-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,630.0,631.75,619.8,620.6,620.6,155.0,1360.04,417200.0,22400.0,08-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,627.55,627.55,622.5,623.05,623.05,5.0,43.76,14000.0,1400.0,08-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,617.9,646.15,613.1,640.6,640.6,15739.0,140355.65,43066800.0,1776600.0,09-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,618.0,648.2,617.3,643.15,643.15,415.0,3710.49,509600.0,92400.0,09-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,629.4,646.0,629.4,645.5,641.75,13.0,116.63,16800.0,2800.0,09-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,642.35,648.5,617.05,621.15,621.15,14510.0,128937.25,41227200.0,-1839600.0,12-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,643.85,651.2,620.1,623.4,623.4,438.0,3908.96,526400.0,16800.0,12-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,650.2,650.2,625.95,625.95,624.0,11.0,98.44,15400.0,-1400.0,12-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,624.9,637.0,616.75,628.15,628.15,6958.0,61087.62,41060600.0,-166600.0,13-Apr-2021,,,N,,,,,,,
