FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,914.95,918.1,895.2,896.65,896.65,7940.0,46547.07,8796450.0,3226600.0,24-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,920.05,920.05,899.25,901.7,901.7,40.0,235.38,71500.0,9750.0,24-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,892.1,905.25,885.25,900.95,899.95,5953.0,34647.59,267800.0,-2336750.0,25-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,894.9,905.45,887.6,903.7,903.7,7804.0,45563.43,10431200.0,1634750.0,25-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,897.45,908.15,893.45,907.3,907.3,41.0,240.28,82550.0,11050.0,25-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,898.15,978.25,894.8,969.0,969.0,19413.0,120162.77,10715250.0,284050.0,26-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,900.0,980.95,900.0,972.8,972.8,413.0,2570.57,96850.0,14300.0,26-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,965.0,979.7,960.85,975.15,975.15,14.0,88.53,6500.0,6500.0,26-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,970.0,999.95,956.85,965.35,965.35,11610.0,73531.29,10553400.0,-161850.0,29-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,961.9,1001.9,960.6,968.6,968.6,392.0,2495.57,118300.0,21450.0,29-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,977.6,998.9,977.6,980.05,974.1,7.0,44.81,5850.0,-650.0,29-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,964.95,986.8,959.3,975.35,975.35,8214.0,51979.94,10665200.0,111800.0,30-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,970.2,989.1,963.65,978.8,978.8,190.0,1206.41,107900.0,-10400.0,30-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,969.7,969.7,969.7,969.7,980.45,2.0,12.6,5200.0,-650.0,30-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,978.95,987.45,925.7,930.65,930.65,8872.0,54791.81,10097100.0,-568100.0,01-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,985.7,988.45,929.8,934.05,934.05,302.0,1868.94,111800.0,3900.0,01-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,24-Feb-2022,0.0,XX,970.0,970.0,936.6,937.5,937.5,17.0,104.51,11050.0,5850.0,01-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,937.85,937.9,918.95,924.05,924.05,4718.0,28425.58,10400000.0,302900.0,02-Dec-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,935.5,937.25,923.65,927.5,927.5,146.0,883.63,126100.0,14300.0,02-Dec-2021,,,N,,,,,,,
