symbol,sector,direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_rupees,days_held,reason,lot_size,month
CIPLA,PHARMA,LONG,2024-10-30,2024-11-01,1418.15,1558.8,9.918,52744.0,2,RSI Target,375,2024-11
DRREDDY,PHARMA,LONG,2024-10-28,2024-11-07,1309.25,1289.2,-1.531,-12531.0,10,Time Stop,625,2024-11
INDUSINDBK,BANKING,LONG,2024-11-01,2024-11-11,1066.5,1064.25,-0.211,-1575.0,10,Time Stop,700,2024-11
INDUSINDBK,BANKING,LONG,2024-11-13,2024-11-25,1040.35,1004.2,-3.475,-25305.0,12,Time Stop,700,2024-11
AMBUJACEM,CEMENT,LONG,2024-11-21,2024-12-02,482.8,541.0,12.055,61110.0,11,Time Stop,1050,2024-12
WIPRO,IT,LONG,2024-12-03,2024-12-13,292.3,310.55,6.244,54750.0,10,Time Stop,3000,2024-12
WIPRO,IT,LONG,2024-12-17,2024-12-27,310.0,310.6,0.194,1800.0,10,Time Stop,3000,2024-12
RELIANCE,OIL,LONG,2024-12-26,2025-01-06,1215.9,1224.65,0.72,4375.0,11,Time Stop,500,2025-01
COFORGE,IT,SHORT,2024-12-30,2025-01-09,9790.45,9307.85,4.929,180975.0,10,Time Stop,375,2025-01
IOC,OIL,LONG,2025-01-13,2025-01-23,122.13,129.65,6.157,36660.0,10,Time Stop,4875,2025-01
HEROMOTOCO,AUTO,LONG,2025-03-04,2025-03-17,3531.15,3500.8,-0.859,-4552.0,13,Time Stop,150,2025-03
INDUSINDBK,BANKING,LONG,2025-03-11,2025-03-21,657.1,690.6,5.098,23450.0,10,Time Stop,700,2025-03
COFORGE,IT,LONG,2025-06-04,2025-06-16,1726.0,1835.5,6.344,41063.0,12,Time Stop,375,2025-06
LTIM,IT,SHORT,2025-06-09,2025-06-19,5283.5,5362.5,-1.495,-11850.0,10,Time Stop,150,2025-06
TECHM,IT,SHORT,2025-06-17,2025-06-27,1718.6,1686.8,1.85,19080.0,10,Time Stop,600,2025-06
MPHASIS,IT,SHORT,2025-07-01,2025-07-11,2899.7,2840.9,2.028,16170.0,10,Time Stop,275,2025-07
COFORGE,IT,LONG,2025-07-03,2025-07-14,1943.5,1882.0,-3.164,-23062.0,11,Time Stop,375,2025-07
DABUR,FMCG,SHORT,2025-07-09,2025-07-21,518.0,516.1,0.367,2375.0,12,Time Stop,1250,2025-07
ASHOKLEY,AUTO,LONG,2025-07-16,2025-07-28,124.6,122.75,-1.485,-9250.0,12,Time Stop,5000,2025-07
DIVISLAB,PHARMA,LONG,2025-08-08,2025-08-18,5932.0,6179.0,4.164,24700.0,10,Time Stop,100,2025-08
ASHOKLEY,AUTO,LONG,2025-08-14,2025-08-25,122.36,130.84,6.93,42400.0,11,Time Stop,5000,2025-08
BRITANNIA,FMCG,SHORT,2025-09-11,2025-09-22,6314.0,6069.0,3.88,30625.0,11,Time Stop,125,2025-09
DALBHARAT,CEMENT,SHORT,2025-09-17,2025-09-23,2481.2,2348.0,5.368,43290.0,6,RSI Target,325,2025-09
SBIN,BANKING,SHORT,2025-09-17,2025-09-29,860.05,869.4,-1.087,-7013.0,12,Time Stop,750,2025-09
AXISBANK,BANKING,SHORT,2025-09-22,2025-10-03,1146.0,1186.8,-3.56,-25500.0,11,Time Stop,625,2025-10
HDFCBANK,BANKING,LONG,2025-10-07,2025-10-17,986.0,1004.15,1.841,9982.0,10,Time Stop,550,2025-10
HINDALCO,METALS,SHORT,2025-10-27,2025-11-06,840.8,791.55,5.858,34475.0,10,RSI Target,700,2025-11
TORNTPHARM,PHARMA,SHORT,2026-01-07,2026-01-19,4080.3,4078.2,0.051,525.0,12,Time Stop,250,2026-01
