Ticker,Date,Type,Description
CHOLAFIN,2023-02-10,Dividend,Interim Dividend - Rs 1.30 Per Share
CHOLAFIN,2023-07-25,Dividend,Annual General Meeting/Dividend - Re 0.70 Per Share
CHOLAFIN,2024-02-07,Dividend,Interim Dividend - Rs 1.30 Per Share
CHOLAFIN,2024-07-19,Dividend,Dividend - Re 0.70 Per Share
CHOLAFIN,2025-02-07,Dividend,Interim Dividend - Rs 1.30 Per Share
CHOLAFIN,2025-07-24,Dividend,Dividend - Re 0.70 Per Share
CHOLAFIN,2026-02-05,Dividend,Interim Dividend - Rs 1.30 Per Share
CIPLA,2021-08-09,Dividend, Annual General Meeting/Dividend - Rs 5 Per Share
CIPLA,2022-08-08,Dividend,Dividend - Rs 5 Per Share
CIPLA,2023-07-21,Dividend,Dividend - Rs 8.50 Per Share
CIPLA,2024-08-02,Dividend,Dividend - Rs 13 Per Share
CIPLA,2025-06-27,Dividend,Dividend - Rs 13 Per Share/Special Dividend - Rs 3 Per Share
COALINDIA,2021-03-15,Dividend, Interim Dividend - Rs 5 Per Share
COALINDIA,2021-09-02,Dividend, Dividend - Rs 3.50 Per Share
COALINDIA,2021-12-06,Dividend, Interim Dividend - Rs 9 Per Sh
COALINDIA,2022-02-21,Dividend,Interim Dividend - Rs 5 Per Share
COALINDIA,2022-08-11,Dividend,Dividend - Rs 3 Per Share
COALINDIA,2022-11-15,Dividend,Interim Dividend - Rs 15 Per Share
COALINDIA,2023-02-08,Dividend,Interim Dividend - Rs 5.25 Per Share
COALINDIA,2023-08-18,Dividend,Dividend - Rs 4 Per Share
COALINDIA,2023-11-21,Dividend,Interim Dividend - Rs 15.25 Per Share
COALINDIA,2024-02-20,Dividend,Interim Dividend - Rs 5.25 Per Share
COALINDIA,2024-08-16,Dividend,Dividend - Rs 5 Per Share
COALINDIA,2024-11-05,Dividend,Interim Dividend - Rs 15.75 Per Share
COALINDIA,2025-01-31,Dividend,Interim Dividend - Rs 5.60 Per Share
COALINDIA,2025-08-06,Dividend,Interim Dividend - Rs 5.50 Per Share
COALINDIA,2025-08-21,Dividend,Dividend - Rs 5.15 Per Share
COALINDIA,2025-11-04,Dividend,Interim Dividend - Rs 10.25 Per Share
COALINDIA,2026-02-18,Dividend,Interim Dividend - Rs 5.50 Per Share
COFORGE,2021-05-18,Dividend, Interim Dividend - Rs 13 Per Share
COFORGE,2021-08-09,Dividend, Interim Dividend - Rs 13 Per Share
COFORGE,2021-11-03,Dividend, Interim Dividend - Rs 13 Per Share
COFORGE,2022-02-07,Dividend,Interim Dividend - Rs 13 Per Share
COFORGE,2022-05-23,Dividend,Interim Dividend - Rs  13 Per Share
COFORGE,2022-08-03,Dividend,Interim Dividend - Rs 13 Per Share
COFORGE,2022-11-03,Dividend,Interim Dividend - Rs 13 Per Share
COFORGE,2023-02-03,Dividend,Interim Dividend - Rs 19 Per Sh
COFORGE,2023-05-10,Dividend,Interim Dividend - Rs 19 Per Share
COFORGE,2023-08-03,Dividend,Interim Dividend - Rs 19 Per Share
COFORGE,2023-11-02,Dividend,Interim Dividend - Rs 19 Per Share
COFORGE,2024-02-05,Dividend,Interim Dividend - Rs 19 Per Share
COFORGE,2024-05-15,Dividend,Interim Dividend - Rs 19 Per Share
COFORGE,2024-08-02,Dividend,Interim Dividend - Rs 19 Per Share
COFORGE,2024-10-11,Dividend,Interim Dividend - Rs 19 Per Share
COFORGE,2025-01-30,Dividend,Interim Dividend - Rs 19 Per Share
COFORGE,2025-05-09,Dividend,Interim Dividend - Rs 19 Per Share
COFORGE,2025-06-04,Split,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
