symbol,expiry,entry_date,exit_date,direction,entry_premium_pct,exit_premium_pct,pnl_pct,pnl_rupees,spot,lot_size,days_held,month
OFSS,2024-01-25,2024-01-20,2024-01-25,BUY,-17.843,-17.669,0.174,2840.0,8169.5,200,5,2024-01
OFSS,2024-02-29,2024-02-26,2024-02-29,BUY,-3.286,-6.022,-2.736,-44700.0,8169.5,200,3,2024-02
OFSS,2024-03-28,2024-03-22,2024-03-28,SELL,2.876,7.349,-4.473,-73090.0,8169.5,200,6,2024-03
OFSS,2024-04-25,2024-04-22,2024-04-25,BUY,-7.631,-12.561,-4.93,-80550.0,8169.5,200,3,2024-04
OFSS,2024-05-30,2024-05-27,2024-05-30,BUY,-6.743,-9.331,-2.588,-21140.0,8169.5,100,3,2024-05
OFSS,2024-06-27,2024-06-24,2024-06-27,SELL,19.816,20.47,-0.654,-5340.0,8169.5,100,3,2024-06
OFSS,2024-07-25,2024-07-22,2024-07-25,SELL,32.401,35.713,-3.312,-27055.0,8169.5,100,3,2024-07
OFSS,2024-08-29,2024-08-26,2024-08-29,SELL,34.65,32.53,2.121,17325.0,8169.5,100,3,2024-08
OFSS,2024-09-26,2024-09-23,2024-09-26,SELL,41.394,38.015,3.378,27600.0,8169.5,100,3,2024-09
PAGEIND,2023-02-23,2023-02-20,2023-02-23,BUY,-0.808,-2.254,-1.447,-8438.0,38885.0,15,3,2023-02
PAGEIND,2023-03-29,2023-03-24,2023-03-29,BUY,-4.475,-2.029,2.446,14264.0,38885.0,15,5,2023-03
PAGEIND,2023-04-27,2023-04-24,2023-04-27,SELL,4.29,4.913,-0.623,-3634.0,38885.0,15,3,2023-04
PAGEIND,2023-05-25,2023-05-22,2023-05-25,SELL,7.259,5.496,1.764,10288.0,38885.0,15,3,2023-05
PAGEIND,2023-06-29,2023-06-26,2023-06-27,BUY,-2.618,-2.497,0.121,706.0,38885.0,15,1,2023-06
PAGEIND,2023-07-27,2023-07-24,2023-07-27,BUY,-3.483,-4.044,-0.56,-3269.0,38885.0,15,3,2023-07
PAGEIND,2023-08-31,2023-08-28,2023-08-31,SELL,2.061,3.297,-1.236,-7211.0,38885.0,15,3,2023-08
PAGEIND,2023-09-28,2023-09-25,2023-09-28,SELL,1.451,-0.036,1.488,8677.0,38885.0,15,3,2023-09
PAGEIND,2023-10-26,2023-10-23,2023-10-26,BUY,-3.902,-4.824,-0.923,-5381.0,38885.0,15,3,2023-10
PAGEIND,2023-11-30,2023-11-24,2023-11-30,BUY,-3.505,-4.265,-0.759,-4429.0,38885.0,15,6,2023-11
PAGEIND,2024-01-25,2024-01-20,2024-01-25,BUY,-3.598,-5.793,-2.196,-12806.0,38885.0,15,5,2024-01
PAGEIND,2024-02-29,2024-02-26,2024-02-29,BUY,-7.095,-11.832,-4.737,-27629.0,38885.0,15,3,2024-02
PAGEIND,2024-03-28,2024-03-22,2024-03-28,BUY,-11.348,-11.706,-0.358,-2087.0,38885.0,15,6,2024-03
PAGEIND,2024-04-25,2024-04-22,2024-04-25,BUY,-8.647,-8.715,-0.068,-398.0,38885.0,15,3,2024-04
PAGEIND,2024-05-30,2024-05-27,2024-05-30,BUY,-5.308,-2.059,3.249,18949.0,38885.0,15,3,2024-05
PAGEIND,2024-06-27,2024-06-24,2024-06-27,SELL,3.429,3.24,0.188,1099.0,38885.0,15,3,2024-06
PAGEIND,2024-07-25,2024-07-22,2024-07-25,SELL,3.688,6.542,-2.854,-16644.0,38885.0,15,3,2024-07
PAGEIND,2024-08-29,2024-08-26,2024-08-29,SELL,8.065,7.625,0.441,2569.0,38885.0,15,3,2024-08
PAGEIND,2024-09-26,2024-09-23,2024-09-26,SELL,10.982,8.166,2.816,16427.0,38885.0,15,3,2024-09
PERSISTENT,2024-02-29,2024-02-26,2024-02-29,SELL,34.072,36.903,-2.831,-17825.0,6296.5,100,3,2024-02
PERSISTENT,2024-03-28,2024-03-22,2024-03-28,SELL,27.163,-36.654,63.817,401825.0,6296.5,100,6,2024-03
