Ticker,Date,Type,Description
IOC,2022-02-09,Dividend,Interim Dividend - Rs  4 Per Share
IOC,2022-06-30,Bonus,Bonus 1:2
IOC,2022-08-11,Dividend,Dividend - Rs 2.40 Per Share
IRCTC,2021-09-21,Dividend, Dividend - Rs 5 Per Share
IRCTC,2021-10-28,Split, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
IRCTC,2022-02-17,Dividend,Interim Dividend - Rs 2 Per Share
IRCTC,2022-08-18,Dividend,Annual General Meeting/Dividend - Rs  1.50 Per Share
IRCTC,2023-02-22,Dividend,Interim Dividend - Rs 3.50 Per Share
IRFC,2021-02-17,Dividend, Interim Dividend - Rs 1.05 Per Share
IRFC,2021-11-10,Dividend, Interim Dividend - Rs 0.77 Per Share
IRFC,2022-09-15,Dividend,Dividend - Re 0.63 Per Share
IRFC,2022-11-17,Dividend,Interim Dividend - Re 0.80 Per Share
ITC,2021-02-22,Dividend, Interim Dividend - Rs 5 Per Share
ITC,2021-06-10,Dividend, Dividend - Rs 5.75 Per Share
ITC,2022-02-14,Dividend,Interim Dividend - Rs 5.25 Per Share
ITC,2022-05-26,Dividend,Dividend - Rs 6.25 Per Share
ITC,2023-02-15,Dividend,Interim Dividend - Rs  6 Per Share
JINDALSTEL,2022-03-16,Dividend,Interim Dividend - Re 1 Per Share
JINDALSTEL,2022-09-20,Dividend,Dividend - Rs 2 Per Share
JSWENERGY,2021-07-27,Dividend, Dividend - Rs 2 Per Share
JSWENERGY,2022-05-30,Dividend,Dividend - Rs 2 Per Share
JSWSTEEL,2021-07-05,Dividend, Annual General Meeting/Dividend - Rs 6.50 Per Share
JSWSTEEL,2022-07-04,Dividend,Annual General Meeting/Dividend - Rs 17.35 Per Share
JUBLFOOD,2021-08-06,Dividend, Dividend - Rs 6 Per Share
JUBLFOOD,2022-04-19,Split,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
JUBLFOOD,2022-07-08,Dividend,Dividend - Rs 1.20 Per Share
KEI,2021-03-09,Dividend, Interim Dividend - Rs 2 Per Share
KEI,2022-02-07,Dividend,Interim Dividend - Rs 2.50 Per Share
KEI,2023-02-03,Dividend,Interim Dividend - Rs 3 Per Share
KOTAKBANK,2021-08-11,Dividend, Dividend - Rs 0.90 Per Share
KOTAKBANK,2022-08-11,Dividend,Dividend - Rs 1.10 Per Share
KPITTECH,2021-08-17,Dividend, Annual General Meeting/Dividend - Rs 1.50 Per Share
KPITTECH,2022-02-10,Dividend,Interim Dividend - Rs 1.25 Per Share
KPITTECH,2022-08-12,Dividend,Dividend - Rs 1.85 Per Share
KPITTECH,2023-02-10,Dividend,Interim Dividend - Rs 1.45 Per Share
LAURUSLABS,2021-02-08,Dividend, Interim Dividend - Rs 0.40 Per Share
LAURUSLABS,2021-05-11,Dividend, Interim Dividend - Re 0.80  Per Share
LAURUSLABS,2021-11-17,Dividend, Interim Dividend - Rs 0.80 Per Share
LAURUSLABS,2022-05-10,Dividend,Interim Dividend - Rs 1.20 Per Share
LAURUSLABS,2022-11-03,Dividend,Interim Dividend - Rs  0.80 Per Share
LICHSGFIN,2021-09-16,Dividend, Annual General Meeting/Dividend - Rs 8.50 Per Share
LICHSGFIN,2022-09-19,Dividend,Annual General Meeting/Dividend - Rs 8.50 Per Share
LICI,2022-08-25,Dividend,Dividend - Rs 1.50 Per Share
LT,2021-07-28,Dividend, Annual General Meeting/Dividend - Rs 18 Per Share
LT,2022-07-21,Dividend,Dividend - Rs 22 Per Share
LTF,2022-07-01,Dividend,Dividend - Rs 0.50 Per Share
LUPIN,2021-07-27,Dividend, Dividend - Rs 6.50 Per Share
LUPIN,2022-07-14,Dividend,Dividend - Rs  4 Per Share
M&M,2021-07-15,Dividend, Annual General Meeting/Dividend - Rs 8.75 Per Share
M&M,2022-07-14,Dividend,Annual General Meeting/Dividend - Rs 11.55 Per Share
MANAPPURAM,2021-02-10,Dividend, Interim Dividend - Rs 0.65 Per Share
MANAPPURAM,2021-06-04,Dividend, Interim Dividend - Rs 0.75 Per Share
MANAPPURAM,2021-08-20,Dividend, Interim Dividend - Rs 0.75 Per Share
MANAPPURAM,2021-11-24,Dividend, Interim Dividend - Rs 0.75 Per Share
MANAPPURAM,2022-02-24,Dividend,Int Dividend - Rs 0.75 Per Share
MANAPPURAM,2022-05-27,Dividend,Interim Dividend - Rs 0.75 Per Share
MANAPPURAM,2022-08-17,Dividend,Interim Dividend - Rs  0.75 Per Share
