strategy,symbol,entry_date,exit_date,pnl_pct,portfolio_pnl,days_held,exit_reason
PAIR,NHPC/PFC,2025-07-15,2025-07-16,0.6272,3880.0,1,z_revert
PAIR,JUBLFOOD/PAGEIND,2025-07-15,2025-07-16,1.8647,11561.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-07-16,2025-07-17,0.2237,1396.0,1,z_revert
PAIR,NHPC/PFC,2025-07-16,2025-07-17,-0.6325,-3950.0,1,z_revert
PAIR,JUBLFOOD/PAGEIND,2025-07-16,2025-07-17,-0.4458,-2778.0,1,z_revert
BREAKOUT,HINDUNILVR,2025-07-11,2025-07-18,-1.0267,-6388.0,7,time_stop
PAIR,POWERGRID/RECLTD,2025-07-17,2025-07-18,0.2953,1831.0,1,z_revert
PAIR,NHPC/PFC,2025-07-17,2025-07-18,0.1252,777.0,1,z_revert
PAIR,JUBLFOOD/PAGEIND,2025-07-17,2025-07-18,-0.2733,-1697.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-07-18,2025-07-21,-0.6322,-3921.0,3,z_revert
PAIR,NHPC/PFC,2025-07-18,2025-07-21,0.3385,2095.0,3,z_revert
PAIR,JUBLFOOD/PAGEIND,2025-07-18,2025-07-21,-0.1068,-662.0,3,z_revert
PAIR,DLF/GODREJPROP,2025-07-18,2025-07-21,0.3149,1950.0,3,z_revert
PAIR,NHPC/PFC,2025-07-21,2025-07-22,-0.0243,-151.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-07-21,2025-07-23,-0.1614,-1001.0,2,z_revert
PAIR,NHPC/PFC,2025-07-22,2025-07-23,-0.4328,-2682.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-07-23,2025-07-24,0.5841,3614.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-07-24,2025-07-25,0.6368,3948.0,1,z_revert
BREAKOUT,AMBUJACEM,2025-07-21,2025-07-28,-0.9188,-5710.0,7,time_stop
PAIR,NHPC/PFC,2025-07-23,2025-07-28,-0.0424,-262.0,5,z_revert
PAIR,POWERGRID/RECLTD,2025-07-25,2025-07-28,-0.9473,-5867.0,3,z_revert
PAIR,POWERGRID/RECLTD,2025-07-28,2025-07-29,0.6673,4119.0,1,z_revert
PAIR,NHPC/PFC,2025-07-28,2025-07-29,-0.3425,-2119.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-07-29,2025-07-30,0.6136,3791.0,1,z_revert
PAIR,NHPC/PFC,2025-07-29,2025-07-30,0.0573,355.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-07-30,2025-07-31,-1.0115,-6265.0,1,z_revert
PAIR,NHPC/PFC,2025-07-30,2025-08-01,0.0988,610.0,2,z_revert
PAIR,POWERGRID/RECLTD,2025-07-31,2025-08-04,0.4365,2695.0,4,z_revert
PAIR,JUBLFOOD/PAGEIND,2025-07-21,2025-08-05,-1.5366,-9501.0,15,time_stop
PAIR,NHPC/PFC,2025-08-01,2025-08-05,0.2371,1458.0,4,z_revert
PAIR,POWERGRID/RECLTD,2025-08-04,2025-08-05,0.274,1686.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-08-05,2025-08-06,-0.343,-2113.0,1,z_revert
PAIR,JSWSTEEL/HINDALCO,2025-08-05,2025-08-06,0.1693,1042.0,1,z_revert
PAIR,NHPC/PFC,2025-08-05,2025-08-07,-0.4617,-2843.0,2,z_revert
PAIR,POWERGRID/RECLTD,2025-08-06,2025-08-07,-0.6683,-4108.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-08-07,2025-08-11,0.3307,2029.0,4,z_revert
PAIR,DLF/GODREJPROP,2025-07-28,2025-08-12,-2.0443,-12552.0,15,time_stop
