,entry_date,exit_date,pair,strategy,direction,days,entry_z,exit_z,gross,charges,net,reason,win
170,2024-10-01,2024-10-04,LTF/LICHSGFIN,PAIRS,SELL_A,3,2.402,1.423,53127.0,6375.0,46752.0,PROFIT,True
171,2024-10-03,2024-10-04,NESTLEIND/TATACONSUM,PAIRS,SELL_A,1,2.377,2.214,15099.0,1812.0,13287.0,INTRADAY,True
172,2024-10-03,2024-10-04,NHPC/IRFC,PAIRS,SELL_A,1,2.028,1.91,14708.0,1765.0,12943.0,INTRADAY,True
173,2024-10-04,2024-10-08,NHPC/IRFC,PAIRS,SELL_A,4,1.91,1.385,21782.0,2614.0,19168.0,PROFIT,True
174,2024-10-04,2024-10-08,NESTLEIND/TATACONSUM,PAIRS,SELL_A,4,2.214,2.135,11921.0,1431.0,10491.0,INTRADAY,True
175,2024-10-07,2024-10-08,ITC_CAL,CALENDAR,SELL_NEAR,1,4.078,2.687,6640.0,797.0,5843.0,INTRADAY,True
176,2024-10-07,2024-10-08,BAJAJFINSV/MUTHOOTFIN,PAIRS,SELL_A,1,2.171,1.554,44109.0,5293.0,38816.0,INTRADAY,True
177,2024-10-07,2024-10-08,LT/GMRAIRPORT,PAIRS,SELL_A,1,2.069,1.866,14701.0,1764.0,12937.0,INTRADAY,True
178,2024-10-07,2024-10-10,DABUR/BRITANNIA,PAIRS,BUY_A,3,-2.632,-1.66,50955.0,6115.0,44841.0,INTRADAY,True
179,2024-10-08,2024-10-09,NESTLEIND/TATACONSUM,PAIRS,SELL_A,1,2.135,1.466,20554.0,2467.0,18088.0,PROFIT,True
