date,capital
2024-01-25,1188138.5212053992
2024-01-25,1187931.0819439671
2024-01-25,1189518.8481061347
2024-01-25,1178994.3457611469
2024-01-25,1181984.2551414918
2024-01-30,1175682.0489705477
2024-02-12,1171685.0485167177
2024-02-26,1169357.5761427353
2024-02-29,1168218.3961926568
2024-02-29,1173027.7710331723
2024-02-29,1179404.1398004747
2024-02-29,1182222.0511762225
2024-02-29,1184317.3352382376
2024-02-29,1184213.949181419
2024-02-29,1183703.1450250864
2024-02-29,1186726.7043352749
2024-02-29,1185016.0581479573
2024-02-29,1186756.4026777314
2024-02-29,1184324.8737370016
2024-02-29,1183162.4247913358
2024-02-29,1188744.1673517942
2024-02-29,1188715.3901035772
2024-02-29,1188120.6747043761
2024-02-29,1189012.3014981886
2024-02-29,1189573.1482960607
2024-02-29,1189201.4011222909
2024-02-29,1188055.1026824664
2024-02-29,1185669.7186641982
2024-02-29,1184933.0129090676
2024-02-29,1182998.949366336
2024-02-29,1184499.4157710637
2024-02-29,1185561.2408549467
2024-02-29,1186099.5869479056
2024-02-29,1186910.5181123803
2024-02-29,1186466.4648363602
2024-02-29,1182803.0903442514
2024-02-29,1179563.1748108596
2024-02-29,1179795.9412750648
2024-02-29,1179377.0520558038
2024-02-29,1179599.3997962289
2024-02-29,1177020.7181401195
2024-02-29,1180334.592216734
2024-02-29,1178831.4440900588
2024-02-29,1178554.7189513133
2024-02-29,1179440.896086597
2024-02-29,1177483.7839643692
2024-02-29,1179707.1471035157
2024-02-29,1184697.957669094
2024-02-29,1183728.9450538594
2024-02-29,1186046.594591548
2024-02-29,1184354.329949597
2024-02-29,1184247.4653931637
2024-02-29,1182011.330850981
2024-02-29,1179556.5742701704
2024-02-29,1185534.052846522
2024-02-29,1186336.7702112065
2024-02-29,1187575.1669948932
2024-02-29,1186379.9076636594
2024-02-29,1192300.582056909
2024-02-29,1190359.7409494997
2024-02-29,1190254.9541924142
2024-02-29,1187866.0264454605
2024-02-29,1188161.4288890748
2024-02-29,1188381.0746947613
2024-02-29,1187894.6262158467
2024-02-29,1187866.7409480333
2024-02-29,1190740.5988980166
2024-02-29,1190570.2659368168
2024-02-29,1184589.3774164638
2024-02-29,1185134.2341200525
2024-02-29,1185873.2153253942
2024-02-29,1186969.3293360374
2024-02-29,1214916.4668810845
2024-02-29,1213172.3155328257
2024-02-29,1212086.5670135887
2024-02-29,1212549.820061454
2024-02-29,1208223.2864532003
2024-02-29,1207794.3040406923
2024-02-29,1203597.2623258012
2024-02-29,1201523.2509607803
2024-02-29,1201035.8299628315
2024-02-29,1202760.054071436
2024-02-29,1202145.0773201934
2024-02-29,1202116.8575297405
2024-02-29,1199084.1831167967
2024-02-29,1199814.2702431234
2024-02-29,1198795.9267193293
2024-02-29,1197571.7857931333
2024-02-29,1197591.991605491
2024-02-29,1197236.187602144
2024-02-29,1197010.472882153
2024-03-11,1201866.0807337542
2024-03-28,1199422.1087200812
2024-03-28,1200386.447269129
2024-03-28,1200364.4328101922
2024-03-28,1200049.191539682
2024-03-28,1200406.6059068986
