Ticker,Date,Dividends,Stock Splits
TATASTEEL,2023-06-21,3.6,0.0
TATASTEEL,2024-06-20,3.6,0.0
TATASTEEL,2025-06-05,3.6,0.0
MANAPPURAM,2023-05-23,0.75,0.0
MANAPPURAM,2023-08-22,0.8,0.0
MANAPPURAM,2023-11-23,0.85,0.0
MANAPPURAM,2024-02-15,0.9,0.0
MANAPPURAM,2024-06-04,1.0,0.0
MANAPPURAM,2024-08-25,1.0,0.0
MANAPPURAM,2024-11-17,1.0,0.0
MANAPPURAM,2025-02-20,1.0,0.0
MANAPPURAM,2025-05-14,0.5,0.0
MANAPPURAM,2025-08-13,0.5,0.0
MANAPPURAM,2025-11-06,0.5,0.0
MANAPPURAM,2026-02-05,0.5,0.0
ULTRACEMCO,2023-07-26,38.0,0.0
ULTRACEMCO,2024-07-29,70.0,0.0
ULTRACEMCO,2025-07-24,77.5,0.0
ICICIGI,2023-06-11,5.5,0.0
ICICIGI,2023-10-26,5.0,0.0
ICICIGI,2024-06-06,6.0,0.0
ICICIGI,2024-10-27,5.5,0.0
ICICIGI,2025-06-05,7.0,0.0
ICICIGI,2025-10-22,6.5,0.0
IREDA,2026-04-01,0.6,0.0
LUPIN,2023-07-13,4.0,0.0
LUPIN,2024-07-15,8.0,0.0
LUPIN,2025-07-24,12.0,0.0
UNOMINDA,2023-08-30,1.0,0.0
UNOMINDA,2024-02-14,0.65,0.0
UNOMINDA,2024-06-06,1.35,0.0
UNOMINDA,2025-02-11,0.75,0.0
UNOMINDA,2025-05-29,1.5,0.0
UNOMINDA,2026-02-10,0.9,0.0
WAAREEENER,2025-10-23,2.0,0.0
BAJAJFINSV,2023-06-29,0.8,0.0
BAJAJFINSV,2024-06-20,1.0,0.0
BAJAJFINSV,2025-06-26,1.0,0.0
MANKIND,2025-08-07,1.0,0.0
ASTRAL,2023-08-03,2.25,0.0
ASTRAL,2023-10-26,1.5,0.0
ASTRAL,2024-08-15,2.25,0.0
ASTRAL,2024-11-13,1.5,0.0
ASTRAL,2025-08-13,2.25,0.0
ASTRAL,2025-11-10,1.5,0.0
HINDUNILVR,2023-06-18,22.0,0.0
HINDUNILVR,2023-11-01,18.0,0.0
HINDUNILVR,2024-06-13,24.0,0.0
HINDUNILVR,2024-11-05,29.0,0.0
HINDUNILVR,2025-06-22,24.0,0.0
HINDUNILVR,2025-11-06,19.0,0.0
KPITTECH,2023-08-13,2.65,0.0
KPITTECH,2024-02-08,2.1,0.0
KPITTECH,2024-08-08,4.6,0.0
KPITTECH,2025-02-03,2.5,0.0
KPITTECH,2025-07-27,6.0,0.0
KPITTECH,2026-02-03,2.25,0.0
LTF,2023-07-20,2.0,0.0
LTF,2024-06-17,2.5,0.0
LTF,2025-05-26,2.75,0.0
KEI,2024-03-18,3.5,0.0
KEI,2025-01-26,4.0,0.0
KEI,2026-01-27,4.5,0.0
NTPC,2023-08-10,3.0,0.0
NTPC,2023-11-02,2.25,0.0
NTPC,2024-02-05,3.25,0.0
NTPC,2024-08-06,3.25,0.0
NTPC,2024-10-30,2.5,0.0
NTPC,2025-01-30,2.5,0.0
NTPC,2025-09-03,3.35,0.0
NTPC,2025-11-06,2.75,0.0
NTPC,2026-02-05,2.75,0.0
NATIONALUM,2023-09-14,1.0,0.0
NATIONALUM,2023-11-21,1.0,0.0
NATIONALUM,2024-02-22,2.0,0.0
NATIONALUM,2024-09-19,2.0,0.0
NATIONALUM,2024-11-28,4.0,0.0
NATIONALUM,2025-02-13,4.0,0.0
NATIONALUM,2025-09-18,2.5,0.0
NATIONALUM,2025-11-13,4.0,0.0
NATIONALUM,2026-02-05,4.5,0.0
UNIONBANK,2023-07-27,3.0,0.0
UNIONBANK,2024-07-18,3.6,0.0
UNIONBANK,2025-07-24,4.75,0.0
TVSMOTOR,2024-03-18,8.0,0.0
TVSMOTOR,2025-03-25,10.0,0.0
TVSMOTOR,2026-03-29,12.0,0.0
POWERGRID,2023-08-07,3.5625,0.0
POWERGRID,2023-09-11,0.0,1.3333333333333333
POWERGRID,2023-11-15,4.0,0.0
POWERGRID,2024-02-14,4.5,0.0
POWERGRID,2024-08-15,2.75,0.0
POWERGRID,2024-11-13,4.5,0.0
POWERGRID,2025-02-06,3.25,0.0
POWERGRID,2025-08-18,1.25,0.0
POWERGRID,2025-11-09,4.5,0.0
POWERGRID,2026-02-08,3.25,0.0
HAVELLS,2023-06-01,4.5,0.0
HAVELLS,2024-01-31,3.0,0.0
HAVELLS,2024-05-30,6.0,0.0
HAVELLS,2025-01-21,4.0,0.0
HAVELLS,2025-05-22,6.0,0.0
HAVELLS,2026-01-22,4.0,0.0
AXISBANK,2023-07-06,1.0,0.0
AXISBANK,2024-07-11,1.0,0.0
AXISBANK,2025-07-03,1.0,0.0
LICI,2023-07-20,3.0,0.0
LICI,2024-02-20,4.0,0.0
LICI,2024-07-18,6.0,0.0
LICI,2025-07-24,12.0,0.0
MAXHEALTH,2023-09-07,1.0,0.0
MAXHEALTH,2024-08-22,1.5,0.0
MAXHEALTH,2025-07-03,1.5,0.0
INDUSINDBK,2023-06-01,14.0,0.0
INDUSINDBK,2024-06-27,16.5,0.0
BSE,2023-08-03,4.0,0.0
BSE,2024-06-13,5.0,0.0
BSE,2025-05-13,7.666667,0.0
BSE,2025-05-22,0.0,3.0
PRESTIGE,2023-09-13,1.5,0.0
PRESTIGE,2024-09-22,1.8,0.0
PRESTIGE,2025-09-02,1.8,0.0
MAZDOCK,2023-09-19,3.43,0.0
MAZDOCK,2023-11-19,7.67,0.0
MAZDOCK,2024-09-18,6.055,0.0
MAZDOCK,2024-10-29,11.595,0.0
MAZDOCK,2024-12-26,0.0,2.0
MAZDOCK,2025-04-15,3.0,0.0
MAZDOCK,2025-09-18,2.71,0.0
MAZDOCK,2025-11-03,6.0,0.0
MAZDOCK,2026-02-12,7.5,0.0
ZYDUSLIFE,2023-07-27,6.0,0.0
ZYDUSLIFE,2024-07-25,3.0,0.0
ZYDUSLIFE,2025-07-24,11.0,0.0
INFY,2023-06-01,17.5,0.0
INFY,2023-10-24,18.0,0.0
INFY,2024-05-30,28.0,0.0
INFY,2024-10-28,21.0,0.0
INFY,2025-05-29,22.0,0.0
INFY,2025-10-26,23.0,0.0
ALKEM,2023-08-09,10.0,0.0
ALKEM,2024-02-15,35.0,0.0
ALKEM,2024-08-08,5.0,0.0
ALKEM,2025-02-13,37.0,0.0
ALKEM,2025-08-07,8.0,0.0
ALKEM,2026-02-19,43.0,0.0
SBILIFE,2024-03-14,2.7,0.0
SBILIFE,2025-03-06,2.7,0.0
SBILIFE,2026-03-05,2.7,0.0
APLAPOLLO,2023-08-31,5.0,0.0
APLAPOLLO,2024-09-18,5.5,0.0
APLAPOLLO,2025-08-21,5.75,0.0
HINDPETRO,2024-02-06,10.0,0.0
HINDPETRO,2024-06-20,0.0,1.5
HINDPETRO,2024-08-08,11.0,0.0
HINDPETRO,2025-08-13,10.5,0.0
HINDPETRO,2025-11-05,5.0,0.0
SUNPHARMA,2023-07-27,4.0,0.0
SUNPHARMA,2024-02-08,8.5,0.0
SUNPHARMA,2024-07-11,5.0,0.0
SUNPHARMA,2025-02-05,10.5,0.0
SUNPHARMA,2025-07-06,5.5,0.0
SUNPHARMA,2026-02-04,11.0,0.0
PFC,2023-06-15,3.6,0.0
PFC,2023-09-20,0.0,1.25
PFC,2023-11-23,4.5,0.0
PFC,2024-02-19,3.5,0.0
PFC,2024-03-21,3.0,0.0
PFC,2024-07-25,2.5,0.0
PFC,2024-08-29,3.25,0.0
PFC,2024-11-24,3.5,0.0
PFC,2025-02-27,3.5,0.0
PFC,2025-03-18,3.5,0.0
PFC,2025-06-12,2.05,0.0
PFC,2025-08-17,3.7,0.0
PFC,2025-11-25,3.65,0.0
PFC,2026-02-19,4.0,0.0
PFC,2026-03-22,3.25,0.0
TECHM,2023-07-20,32.0,0.0
TECHM,2023-11-01,12.0,0.0
TECHM,2024-07-18,28.0,0.0
TECHM,2024-10-30,15.0,0.0
TECHM,2025-07-03,30.0,0.0
TECHM,2025-10-19,15.0,0.0
VBL,2023-04-11,0.2,0.0
VBL,2023-06-14,0.0,2.0
VBL,2023-08-13,0.5,0.0
VBL,2024-04-03,0.5,0.0
VBL,2024-08-08,0.5,0.0
VBL,2024-09-11,0.0,2.5
VBL,2025-04-03,0.5,0.0
VBL,2025-05-06,0.5,0.0
VBL,2025-07-31,0.5,0.0
VBL,2026-04-07,0.5,0.0
GAIL,2024-02-05,5.5,0.0
GAIL,2025-02-06,6.5,0.0
GAIL,2025-08-03,1.0,0.0
GAIL,2026-02-04,5.0,0.0
BHARATFORG,2023-07-06,5.5,0.0
BHARATFORG,2024-02-22,2.5,0.0
BHARATFORG,2024-07-04,6.5,0.0
BHARATFORG,2025-02-17,2.5,0.0
BHARATFORG,2025-07-03,6.0,0.0
BHARATFORG,2026-02-17,2.0,0.0
AUROPHARMA,2023-11-19,3.0,0.0
AUROPHARMA,2024-02-19,1.5,0.0
AUROPHARMA,2025-08-07,4.0,0.0
LICHSGFIN,2023-08-17,8.5,0.0
LICHSGFIN,2024-08-22,9.0,0.0
LICHSGFIN,2025-08-21,10.0,0.0
NESTLEIND,2023-04-20,5.1,0.0
NESTLEIND,2023-10-31,7.0,0.0
NESTLEIND,2024-01-04,0.0,10.0
NESTLEIND,2024-02-14,3.5,0.0
NESTLEIND,2024-07-15,5.625,0.0
NESTLEIND,2025-02-06,7.125,0.0
NESTLEIND,2025-07-03,5.0,0.0
NESTLEIND,2025-08-07,0.0,2.0
NESTLEIND,2026-02-05,7.0,0.0
BAJAJ-AUTO,2023-06-29,140.0,0.0
BAJAJ-AUTO,2024-06-13,80.0,0.0
BAJAJ-AUTO,2025-06-19,210.0,0.0
INDHOTEL,2023-06-08,1.0,0.0
INDHOTEL,2024-06-06,1.75,0.0
INDHOTEL,2025-06-29,2.25,0.0
BHARTIARTL,2023-08-10,4.0,0.0
BHARTIARTL,2024-08-06,8.0,0.0
BHARTIARTL,2025-07-17,16.0,0.0
RVNL,2023-09-19,0.36,0.0
RVNL,2024-09-22,2.11,0.0
RVNL,2025-08-20,1.72,0.0
RVNL,2026-02-10,1.0,0.0
PGEL,2024-07-09,0.0,10.0
PGEL,2024-09-22,0.2,0.0
PGEL,2025-09-18,0.25,0.0
BAJAJHLDNG,2023-06-29,13.0,0.0
BAJAJHLDNG,2023-09-27,110.0,0.0
