SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE,AVG_PRICE,TOTAL_TRADED_QTY,TURNOVER_LACS,NO_OF_TRADES,DELIVERABLE_QTY,DELIVERY_PCT,TIMESTAMP
BEL, EQ, 12-Mar-2026,454.1,452.0,455.0,448.5,453.9,453.55,452.02,14089623,63688.14,177064,6733733,47.79,2026-03-12
BELLACASA, EQ, 12-Mar-2026,252.7,263.05,303.2,250.4,280.05,283.35,280.99,92844,260.88,1850,46408,49.98,2026-03-12
BELRISE, EQ, 12-Mar-2026,192.35,191.0,191.04,185.15,188.4,188.08,187.5,6098829,11435.5,48735,2888016,47.35,2026-03-12
BEML, EQ, 12-Mar-2026,1610.1,1598.1,1621.8,1567.6,1617.0,1614.2,1598.07,216918,3466.49,17637,74824,34.49,2026-03-12
BEPL, EQ, 12-Mar-2026,81.3,80.51,84.29,80.05,83.4,83.81,82.28,431820,355.31,2872,258448,59.85,2026-03-12
BERGEPAINT, EQ, 12-Mar-2026,430.65,428.7,428.7,419.2,421.5,422.7,423.26,357534,1513.29,18457,163696,45.78,2026-03-12
BETA, EQ, 12-Mar-2026,1130.8,1139.8,1179.5,1071.5,1090.0,1109.2,1119.34,15202,170.16,2223,7829,51.5,2026-03-12
BFINVEST, EQ, 12-Mar-2026,378.6,376.0,378.6,368.9,374.0,374.3,374.34,12760,47.77,886,6269,49.13,2026-03-12
BFSI, EQ, 12-Mar-2026,26.83,27.0,27.0,26.34,26.55,26.53,26.56,401674,106.69,1287,310655,77.34,2026-03-12
BHAGCHEM, EQ, 12-Mar-2026,203.35,200.3,202.0,196.25,197.0,197.51,198.46,140717,279.27,1314,105477,74.96,2026-03-12
BHAGERIA, EQ, 12-Mar-2026,151.92,151.92,153.01,146.71,153.0,151.19,150.18,33213,49.88,594,20491,61.7,2026-03-12
BHAGYANGR, EQ, 12-Mar-2026,161.11,160.0,160.0,155.4,158.5,157.7,157.37,176368,277.54,1809,96059,54.47,2026-03-12
BHANDARI, EQ, 12-Mar-2026,2.58,2.6,2.65,2.56,2.64,2.62,2.63,450162,11.82,494,354232,78.69,2026-03-12
BHARATCOAL, EQ, 12-Mar-2026,33.35,33.39,36.64,32.81,35.94,35.81,35.62,62076847,22109.77,115977,9274165,14.94,2026-03-12
BHARATFORG, EQ, 12-Mar-2026,1797.1,1789.9,1792.4,1720.0,1775.0,1779.6,1754.42,1253973,21999.97,47111,426374,34.0,2026-03-12
BHARATGEAR, EQ, 12-Mar-2026,100.86,101.0,101.0,96.25,97.99,98.2,99.67,24508,24.43,830,14343,58.52,2026-03-12
BHARATRAS, EQ, 12-Mar-2026,1361.2,1352.0,1375.9,1320.2,1335.0,1339.8,1350.97,13675,184.75,2447,6165,45.08,2026-03-12
BHARATSE, EQ, 12-Mar-2026,172.31,165.1,173.2,165.1,170.39,169.45,168.39,101436,170.81,2442,44341,43.71,2026-03-12
BHARATWIRE, EQ, 12-Mar-2026,164.03,164.0,166.25,156.96,163.95,163.47,161.34,238988,385.57,2622,120436,50.39,2026-03-12
BHARTIARTL, EQ, 12-Mar-2026,1807.0,1797.9,1817.8,1791.0,1798.3,1801.3,1801.93,12922735,232859.25,213083,8709692,67.4,2026-03-12
BHARTIHEXA, EQ, 12-Mar-2026,1536.2,1513.2,1536.9,1501.6,1515.1,1521.9,1520.33,46112,701.05,7331,16449,35.67,2026-03-12
BHEL, EQ, 12-Mar-2026,255.75,253.9,270.35,251.85,267.8,267.85,265.53,16227938,43090.04,109076,5425787,33.43,2026-03-12
BIGBLOC, EQ, 12-Mar-2026,51.22,51.21,52.6,50.11,52.3,52.13,51.71,116326,60.15,1350,80842,69.5,2026-03-12
BIKAJI, EQ, 12-Mar-2026,619.9,618.55,624.25,608.15,611.0,619.0,616.71,74350,458.52,11746,38922,52.35,2026-03-12
BIL, EQ, 12-Mar-2026,707.4,711.55,724.4,706.15,722.65,719.9,717.61,3423,24.56,176,2868,83.79,2026-03-12
BIOCON, EQ, 12-Mar-2026,395.35,390.5,397.5,389.0,391.4,392.2,392.77,1921703,7547.96,34919,796731,41.46,2026-03-12
BIOFILCHEM, EQ, 12-Mar-2026,30.56,30.06,31.56,29.6,30.4,30.63,30.61,13938,4.27,158,8171,58.62,2026-03-12
BIRLACABLE, EQ, 12-Mar-2026,136.06,135.55,139.7,133.2,137.3,137.93,137.54,44621,61.37,1318,15503,34.74,2026-03-12
BIRLACORPN, EQ, 12-Mar-2026,843.6,840.0,840.0,818.0,818.0,820.1,827.02,93531,773.52,7978,51524,55.09,2026-03-12
BIRLAMONEY, EQ, 12-Mar-2026,121.2,121.21,123.47,118.13,119.0,120.78,121.32,26118,31.69,556,13252,50.74,2026-03-12
BIRLANU, EQ, 12-Mar-2026,1388.0,1400.0,1400.0,1329.0,1333.4,1334.9,1354.45,23045,312.13,2086,16679,72.38,2026-03-12
BLACKBUCK, EQ, 12-Mar-2026,574.8,566.2,580.0,556.55,578.0,572.5,568.96,278105,1582.31,27739,130906,47.07,2026-03-12
BLAL, EQ, 12-Mar-2026,176.75,179.8,179.8,175.01,176.35,176.33,176.42,14817,26.14,820,10338,69.77,2026-03-12
BLISSGVS, EQ, 12-Mar-2026,216.26,214.57,214.57,207.4,210.59,209.2,210.18,1007361,2117.28,12088,398446,39.55,2026-03-12
BLKASHYAP, EQ, 12-Mar-2026,52.08,51.31,51.78,50.1,50.1,50.89,51.13,456441,233.39,2201,252216,55.26,2026-03-12
BLS, EQ, 12-Mar-2026,249.15,247.0,253.8,244.8,251.5,251.75,249.69,893593,2231.24,20691,317760,35.56,2026-03-12
BLSE, EQ, 12-Mar-2026,141.64,137.45,147.9,137.44,143.52,142.55,143.8,1051789,1512.5,6682,503735,47.89,2026-03-12
BLUECOAST, EQ, 12-Mar-2026,20.72,21.66,21.66,20.42,20.56,20.81,21.02,2031,0.43,37,1444,71.1,2026-03-12
BLUEDART, EQ, 12-Mar-2026,5398.5,5398.5,5398.5,5256.0,5305.0,5303.5,5340.83,5898,315.0,2489,2617,44.37,2026-03-12
BLUEJET, EQ, 12-Mar-2026,374.7,370.1,382.0,365.2,375.6,377.35,374.39,314699,1178.21,7659,170255,54.1,2026-03-12
BLUESTARCO, EQ, 12-Mar-2026,1941.1,1941.0,1969.5,1892.0,1942.0,1953.5,1942.32,638482,12401.37,31095,309737,48.51,2026-03-12
BLUESTONE, EQ, 12-Mar-2026,513.65,511.85,523.95,495.0,522.0,518.0,510.94,383714,1960.54,18138,131841,34.36,2026-03-12
BLUSPRING, EQ, 12-Mar-2026,47.82,48.05,49.17,46.3,46.3,46.91,47.67,371346,177.01,2340,267856,72.13,2026-03-12
BMWVENTLTD, EQ, 12-Mar-2026,56.77,56.49,58.11,55.86,57.6,57.43,57.12,125885,71.9,1642,75278,59.8,2026-03-12
BODALCHEM, EQ, 12-Mar-2026,44.56,43.95,45.09,43.94,44.25,44.22,44.45,345805,153.72,1187,249722,72.21,2026-03-12
BOMDYEING, EQ, 12-Mar-2026,108.9,107.5,111.1,105.56,108.2,108.68,108.15,983985,1064.17,10748,360012,36.59,2026-03-12
BOROLTD, EQ, 12-Mar-2026,259.5,253.8,253.8,238.0,242.04,241.41,245.7,606941,1491.26,10051,199274,32.83,2026-03-12
BORORENEW, EQ, 12-Mar-2026,415.8,411.9,431.6,403.25,422.5,422.15,419.35,501717,2103.95,15976,188257,37.52,2026-03-12
BOROSCI, EQ, 12-Mar-2026,106.28,105.1,108.46,104.0,107.95,107.02,106.57,66555,70.93,912,44021,66.14,2026-03-12
BOSCH-HCIL, EQ, 12-Mar-2026,1316.9,1308.0,1336.0,1296.0,1315.0,1326.8,1318.64,21795,287.4,1066,17634,80.91,2026-03-12
BOSCHLTD, EQ, 12-Mar-2026,31715.0,31620.0,31620.0,30815.0,31300.0,31305.0,31213.76,27041,8440.51,12225,11446,42.33,2026-03-12
BPCL, EQ, 12-Mar-2026,325.05,318.7,330.35,314.0,327.0,326.35,324.74,11176171,36293.16,105080,5268626,47.14,2026-03-12
BPL, EQ, 12-Mar-2026,51.55,51.01,52.6,50.25,51.2,51.18,51.63,62560,32.3,749,28227,45.12,2026-03-12
BRIGADE, EQ, 12-Mar-2026,672.0,664.65,680.0,650.25,664.0,665.0,666.07,241725,1610.06,13291,124901,51.67,2026-03-12
BRIGHOTEL, EQ, 12-Mar-2026,58.62,58.91,61.3,57.72,60.61,60.68,59.86,177547,106.27,1789,113047,63.67,2026-03-12
BRITANNIA, EQ, 12-Mar-2026,5921.5,5910.0,5910.0,5713.0,5814.0,5787.0,5774.1,996754,57553.6,55769,657435,65.96,2026-03-12
BRNL, EQ, 12-Mar-2026,18.49,18.98,18.98,18.0,18.33,18.34,18.35,154384,28.33,378,128583,83.29,2026-03-12
BROOKS, EQ, 12-Mar-2026,60.91,61.19,62.6,59.52,60.85,62.18,61.2,25854,15.82,535,11781,45.57,2026-03-12
BSE, EQ, 12-Mar-2026,2837.4,2800.0,2877.9,2781.2,2847.0,2850.6,2831.34,2988021,84601.04,111168,614906,20.58,2026-03-12
BSE500IETF, EQ, 12-Mar-2026,37.24,37.24,37.24,36.69,36.86,36.98,36.87,284482,104.88,1845,183742,64.59,2026-03-12
